dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes	source_file	signature	n_signature_genes	n_genes_found	coverage	missing_genes	n_non_event_or_RD	log_effect	se_log_effect	source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets	analysis_level	source_celltype	module	n_pairs	mean_delta	median_delta	sd_delta	min_delta	max_delta	test	statistic	p_adj_BH_within_module	MajorCluster	SubCluster	Subset	comparison	value	p_adj_BH	n_samples	n_patients	n_R	n_NR	effect_R_minus_NR	score_or_axis
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_plus_proliferation	scale(APC_CXCL9_axis)	OR	1.12478137069026	0.800935375672013	1.57956955115182	0.497305695854123	pCR_binary ~ cohort + scale(APC_CXCL9_axis) + scale(Proliferation)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_plus_proliferation	scale(Proliferation)	OR	1.60333737509397	1.12340415885701	2.28830445223626	0.00929117096967183	pCR_binary ~ cohort + scale(APC_CXCL9_axis) + scale(Proliferation)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Proliferation	(Intercept)	OR	0.46143837061631	0.306580437963122	0.694517143010435	0.00020931965900938	pCR_binary ~ cohort + scale(Proliferation)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Proliferation	cohortGSE25065	OR	1.18628738186572	0.596351117713667	2.35981406016164	0.626374043754058	pCR_binary ~ cohort + scale(Proliferation)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Proliferation	scale(Proliferation)	OR	1.55092481059859	1.10317620646694	2.18040214612112	0.0115710378045409	pCR_binary ~ cohort + scale(Proliferation)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	DRFS	178	64	DRFS_APC_CXCL9_axis	cohortGSE25065	HR	1.17141345469078	0.711776258335059	1.92786632844479	0.533670091974137	Surv(drfs_time_years, drfs_event) ~ cohort + scale(APC_CXCL9_axis)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	DRFS	178	64	DRFS_APC_CXCL9_axis	scale(APC_CXCL9_axis)	HR	0.871445369614557	0.688219647660327	1.10345154312924	0.253222318396595	Surv(drfs_time_years, drfs_event) ~ cohort + scale(APC_CXCL9_axis)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	DRFS	178	64	DRFS_Immune	cohortGSE25065	HR	1.16707049412505	0.709053845427186	1.9209451398387	0.543414854876864	Surv(drfs_time_years, drfs_event) ~ cohort + scale(Immune_remodeling_score)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	DRFS	178	64	DRFS_Immune	scale(Immune_remodeling_score)	HR	0.880545420147914	0.690657584723878	1.12264058788763	0.304655424984434	Surv(drfs_time_years, drfs_event) ~ cohort + scale(Immune_remodeling_score)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	Basoluminal_plasticity	9	9	1																																												
