dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes
GSE22226	primary_TNBC	pCR	29	8	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	1.6965206219578302	0.691690042624834	4.161086676636288	0.24820298155664097	pCR_binary ~ z_TNBC_BIR_favorable_score + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	ER_HER2_negative_sensitivity	pCR	31	9	axis_only	APC_CXCL9_axis	OR_per_1SD	0.8303251754229836	0.3683469800650649	1.8717131787518	0.6538802602451612	pCR_binary ~ z_APC_CXCL9_axis + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	ER_HER2_negative_sensitivity	pCR	31	9	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	0.8444630343337831	0.3703527180002667	1.925509876656843	0.6876840966606557	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	ER_HER2_negative_sensitivity	pCR	31	9	axis_plus_proliferation	Proliferation	OR_per_1SD	0.7512743124520602	0.3405604767114333	1.6573065025057483	0.47865067594893346	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	ER_HER2_negative_sensitivity	pCR	31	9	immune_only	Immune_remodeling_score	OR_per_1SD	1.0442921776349712	0.4675796445886104	2.3323217015340414	0.9158080630994208	pCR_binary ~ z_Immune_remodeling_score + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	ER_HER2_negative_sensitivity	pCR	31	9	proliferation_only	Proliferation	OR_per_1SD	0.7435509222989284	0.3377257791878938	1.6370321963014818	0.46178473357448296	pCR_binary ~ z_Proliferation + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	ER_HER2_negative_sensitivity	pCR	31	9	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	1.9831810560997367	0.8145782525073159	4.828274127337501	0.13149197096880522	pCR_binary ~ z_TNBC_BIR_favorable_score + platform	underpowered: pCR events <15; platform fixed effect included
GSE32646	primary_TNBC	pCR	26	10	axis_only	APC_CXCL9_axis	OR_per_1SD	0.9738174032422516	0.4356453427179833	2.176817337104832	0.948455137649608	pCR_binary ~ z_APC_CXCL9_axis	underpowered: pCR events <15
GSE32646	primary_TNBC	pCR	26	10	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	0.943594452192814	0.4068829718297829	2.188271694450605	0.8923889230375379	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	underpowered: pCR events <15
GSE32646	primary_TNBC	pCR	26	10	axis_plus_proliferation	Proliferation	OR_per_1SD	1.5278076269945104	0.6488341991586163	3.5975232935155	0.33204956394357926	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	underpowered: pCR events <15
GSE32646	primary_TNBC	pCR	26	10	immune_only	Immune_remodeling_score	OR_per_1SD	1.228112692852224	0.5446142151757036	2.7694113453468083	0.6204041814366589	pCR_binary ~ z_Immune_remodeling_score	underpowered: pCR events <15
GSE32646	primary_TNBC	pCR	26	10	proliferation_only	Proliferation	OR_per_1SD	1.5253415026915578	0.6442522432870028	3.6114219610048792	0.3369734861762405	pCR_binary ~ z_Proliferation	underpowered: pCR events <15
